ISO_A3,Country,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
AGO,Angola,5.5993222535901585e+32,4.9672922335948615e+32,5.5290373103895145e+32,5.212167093885992e+32,5.113522065316796e+32,5.518478386247026e+32,6.151111096491451e+32,5.2411525552714014e+32,5.744874870134017e+32,5.153993330039072e+32,5.5850186252199766e+32,5.5935625578577594e+32,4.556727586393673e+32,4.069304433872304e+32,4.906232361533253e+32,3.428501106727026e+32,4.344163669307761e+32,4.377902812394524e+32,4.698126749642146e+32,4.6778408469669716e+32,3.388397705057532e+32
BDI,Burundi,1.3304989899616218e+30,6.667258325699302e+29,7.184667173006623e+29,8.536176470397971e+29,7.249791556621562e+29,1.4906408138947156e+30,3.5532782530773825e+29,6.1479399249876585e+29,9.047511052957178e+29,7.627335559064119e+29,1.3067729549309268e+30,1.3075443834626941e+30,4.680133205618588e+29,3.893934432730622e+29,6.2530083996305896e+29,5.167977593464275e+29,4.682672461680107e+29,5.583216508220735e+29,6.274639119698061e+29,9.636741964908372e+29,5.1703221209067146e+29
BEN,Benin,3.265656442171476e+31,2.6034586257229235e+31,3.037037285519402e+31,3.0810795777096017e+31,2.690312120308404e+31,2.3177185405582627e+31,2.2266627071937397e+31,2.162433996831187e+31,2.0052407016051715e+31,1.8942858261310527e+31,1.4999573855729525e+31,1.79676191824712e+31,1.450552702418784e+31,1.3821675898973353e+31,1.3081988659855046e+31,1.1861977994202491e+31,1.2017388505899186e+31,1.1775202676383687e+31,7.708237822299749e+30,8.754183168320817e+30,8.439502869425997e+30
BFA,Burkina Faso,2.8120060099600655e+31,2.2887370703163953e+31,2.198280142007464e+31,2.2642759757956475e+31,2.3625647568123706e+31,2.772791718583837e+31,2.4139647922224626e+31,1.7506839456781138e+31,1.9161372567646008e+31,1.5815399596429453e+31,1.3081558105230182e+31,1.8171658866644215e+31,1.5906599191192936e+31,1.2279187521236758e+31,1.204169036814915e+31,1.1462472719491093e+31,1.1902740568538118e+31,9.810652164443705e+30,1.3872856074192878e+31,2.0902727295989453e+31,1.5942223349876533e+31
BWA,Botswana,1.9182611713736487e+31,3.1694765523439654e+31,2.0608497042097754e+31,7.12861968608589e+31,1.5938372410497282e+31,1.1194584930586253e+32,1.3001295723022605e+32,3.9123934438561654e+31,3.4425396271191745e+31,2.011288756593597e+31,2.121525318365137e+31,1.4070875694912935e+31,2.867463502745566e+31,2.1443174991835725e+31,1.7609177638940568e+31,1.6949700290498595e+31,6.9237511930795795e+31,6.38606493156974e+31,8.934852128693423e+31,1.809334204610095e+31,1.2712065176043806e+31
CAF,Central African Rep.,2.791215933020719e+32,2.481149605779667e+32,2.6390273594492715e+32,3.066679820146286e+32,1.8961948267772654e+32,2.035207840999558e+32,2.4337086503466625e+32,1.8744621048501518e+32,1.935805549278373e+32,2.2118915694597315e+32,2.325008780379263e+32,2.5502920799863054e+32,1.772702122083028e+32,1.9575279633382413e+32,1.462988400118473e+32,1.7702583889692215e+32,1.6166596208155404e+32,1.6484838458669994e+32,1.3103921638118733e+32,1.266115650937766e+32,1.0631743995073653e+32
CIV,Côte d'Ivoire,6.094455934254578e+31,5.839960003569936e+31,5.896837204283671e+31,6.69783173844305e+31,5.256692291720759e+31,4.393730593148652e+31,5.280783474024253e+31,4.414494179763135e+31,4.9873099120294425e+31,3.1500655552691528e+31,3.3082154373164724e+31,4.086751997188121e+31,2.4030975968784006e+31,2.2511003336100625e+31,2.036578748306206e+31,2.2906070789356234e+31,1.6085042508483976e+31,1.8765195750262287e+31,1.4246024315713925e+31,2.207976310807204e+31,1.32327933596223e+31
CMR,Cameroon,7.296340855383751e+31,5.78675936566859e+31,7.966856197034156e+31,6.955715780962524e+31,5.565277903097637e+31,5.813172344249493e+31,5.547760305348004e+31,4.785651800592054e+31,4.675479473073683e+31,4.77155698400806e+31,4.399563226425793e+31,5.979784099769713e+31,4.4082874816384165e+31,3.7082484510589007e+31,3.714335356033178e+31,4.601530543311848e+31,4.744791659602471e+31,3.937409570168699e+31,4.462987568672783e+31,3.632216163716544e+31,4.777832874023861e+31
COD,Dem. Rep. Congo,7.294196337271753e+32,7.472054339151159e+32,6.705905487052482e+32,6.970306371604933e+32,7.058570824554487e+32,7.318065495715886e+32,7.01762868610568e+32,6.518823580774402e+32,7.285224592582418e+32,6.830864313077422e+32,7.360446584060735e+32,8.552309651863386e+32,6.182811429816843e+32,6.2382836070301134e+32,6.02229905519485e+32,6.007943402335842e+32,6.455754725605568e+32,6.576112781997956e+32,5.732556777412051e+32,5.722242271134431e+32,4.7439603655577784e+32
COG,Congo,3.095408739250034e+31,2.904131917859416e+31,2.5913341393471984e+31,2.9390588509135545e+31,2.8611691912336132e+31,3.3126488088403816e+31,3.5909856979807877e+31,2.8884330893229306e+31,3.434683246161907e+31,2.5347526790349686e+31,2.8313808850409535e+31,3.588661190839383e+31,2.2133451230739404e+31,2.7693936031587294e+31,2.2965664579904695e+31,2.3127181139101144e+31,2.714473873742278e+31,2.878221904957522e+31,2.2468260625180036e+31,3.208650564615359e+31,2.5488606054653485e+31
COM,Comoros,9.62741701363548e+29,2.2698723096399504e+30,9.04558301176424e+28,1.356066185261067e+29,3.47234747014545e+28,7.276710720311906e+28,2.4196999726831217e+28,6.6536894401101065e+28,4.547115738688054e+28,6.338141826527789e+28,5.381405077347128e+28,2.257058165426735e+28,2.360679686413694e+28,5.7153848966779245e+28,3.733064770274568e+28,2.0918352115448315e+28,2.3278141146922103e+28,1.6698422737484817e+28,1.3610942810738511e+28,8.469288733557677e+28,1.1332708669125947e+28
CPV,Cabo Verde,0.0,3.5925522632984394e+27,0.0,3.2719221776101167e+27,0.0,0.0,0.0,6.395360019858326e+26,0.0,6.922393512604904e+28,0.0,0.0,7.900669625316245e+27,5.5011558701079795e+28,3.036957570162982e+28,0.0,6.184848100572321e+26,1.5752199636645303e+28,7.66327059472342e+27,6.312069609567314e+26,5.586545765647558e+27
ERI,Eritrea,3.249061915493671e+29,3.68713425111442e+29,8.346125986078113e+29,8.039079467747451e+29,3.141765354723596e+29,5.2919117251125556e+29,1.6104616161267622e+31,3.64242050837497e+29,2.7552861190411436e+29,4.382016739883559e+29,4.457189446615826e+29,2.7877760646989043e+29,3.2982402498776354e+29,3.6854260057720694e+29,5.149963603600328e+29,8.768425537935006e+29,7.833583115317195e+29,6.549563793819649e+29,8.569809406094345e+29,4.986435319474072e+29,7.057709934152331e+29
ETH,Ethiopia,9.761980475017526e+31,7.473735864721118e+31,9.668499655452368e+31,9.745195631991497e+31,8.555333743939813e+31,6.507806007200559e+31,7.905234729783979e+31,8.183475044406868e+31,7.9574753744211075e+31,6.775129277882201e+31,8.369041743294604e+31,8.460045293652425e+31,7.364438302366142e+31,6.948837551672353e+31,5.398153389909411e+31,4.890027972560701e+31,5.836728379452201e+31,4.274428061161397e+31,5.135930849689174e+31,4.753297461800131e+31,6.020506305704087e+31
