ISO_A3,Country,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
ZWE,Zimbabwe,1.1057349904302967e+33,1.041663093639065e+33,1.0229955071022108e+33,1.1701912111913992e+33,1.0410046630591984e+33,1.1257914254349253e+33,1.1814356137189046e+33,1.118192231599433e+33,1.209515217751254e+33,1.1449590735338996e+33,1.0775950065135934e+33,1.1559964860796943e+33,1.1152364904224086e+33,1.0404679013369532e+33,1.1195013551696851e+33,1.1465183577365101e+33,1.0637358767922903e+33,1.0012154240130027e+33,9.558744656747416e+32,9.95609637190042e+32,9.608679975631513e+32
ZMB,Zambia,2.4023889209149547e+33,2.862595441267002e+33,2.446318056363816e+33,3.1530945105635553e+33,2.4063219557869808e+33,2.69885739131023e+33,2.717685661809655e+33,2.514351078810815e+33,3.0645120516393017e+33,2.368773832686601e+33,2.8594122053004326e+33,3.0070133802951194e+33,2.4720828792418958e+33,2.4171675198064456e+33,2.8370515316236456e+33,2.732711303311858e+33,2.280411064685802e+33,2.6852226782978206e+33,1.950439623612006e+33,2.311038905222465e+33,1.8613362545512088e+33
UGA,Uganda,7.210871424156902e+32,4.975950871466975e+32,6.505037688160488e+32,6.033489155435409e+32,5.61109862229222e+32,6.2419071121923414e+32,5.952152174779491e+32,6.565745832348198e+32,6.200662825143822e+32,5.6649876106661754e+32,6.033327309170126e+32,5.737800821897844e+32,5.5779037328666845e+32,5.827331231691197e+32,5.392050811442168e+32,5.513141962161441e+32,5.7353858881626814e+32,5.185496837801558e+32,4.5702764620546505e+32,4.939162469573761e+32,5.1145805315963955e+32
TGO,Togo,2.2853185186583374e+32,1.979567670125189e+32,2.003811062158807e+32,2.0912112216203854e+32,1.933235074417024e+32,1.9129186370840232e+32,1.897587289846317e+32,1.959764852806455e+32,1.9967175075207673e+32,1.7449067480959142e+32,2.0262350767835053e+32,2.0720379258906815e+32,1.8716125001684123e+32,1.9084590549655662e+32,1.677048538092616e+32,1.7444397031785125e+32,1.744779540991206e+32,1.6853881826663895e+32,1.4220989910048707e+32,1.5498441043942204e+32,1.7012604624064247e+32
TZA,Tanzania,2.437256432553126e+33,2.0306444609203395e+33,2.2601257176256776e+33,2.3615360345186675e+33,2.326005808181041e+33,2.5140835656388652e+33,2.3509710378941e+33,2.6075092588129923e+33,2.2190489561543192e+33,2.2451833240025757e+33,2.545842242338101e+33,2.246897069507097e+33,2.2235779476596316e+33,2.3029934570257353e+33,2.1885813540230573e+33,2.1969364609665704e+33,2.1568152600641803e+33,2.2397235905141637e+33,1.7852007499271233e+33,1.7490998339965206e+33,1.8038323633237486e+33
SWZ,eSwatini,2.3556563473474054e+32,2.1396581724016337e+32,2.853208198443159e+32,2.465375719337499e+32,2.4445078991980043e+32,2.522259717191275e+32,2.5494396244437467e+32,2.343414588490527e+32,2.4279269367021263e+32,2.7116524896952985e+32,2.409020242525688e+32,2.3284099842327255e+32,2.1242477454025135e+32,2.0847275675088696e+32,2.019835362158505e+32,1.6818157776031864e+32,1.7092022977190614e+32,1.7952375179752924e+32,1.786702229669881e+32,1.6601546633586722e+32,1.6883039648821465e+32
SDS,S. Sudan,2.4540268479234762e+33,2.0380588446975162e+33,2.330328972323336e+33,2.3586900833290602e+33,2.40051818088992e+33,2.1494020224457128e+33,2.1472161120807033e+33,2.2307231740574144e+33,2.2748602913127015e+33,2.1050172366234412e+33,2.269422434054832e+33,2.326716838064414e+33,2.101522365404239e+33,2.2647393409441332e+33,1.9058863896835729e+33,1.9882203022889526e+33,2.1240528461628094e+33,1.992916977946663e+33,1.8948264073679104e+33,2.0443828153742947e+33,2.1026693832755377e+33
SDN,Sudan,3.973824134853471e+33,3.8869196173506566e+33,3.746268528640874e+33,3.942276011613355e+33,3.9099572875278557e+33,4.046252678197332e+33,3.9476784934950037e+33,3.9359481285673124e+33,3.995299046732914e+33,4.345667511503562e+33,4.085771021836582e+33,4.460413431566992e+33,4.4772018665234754e+33,3.9409158017768524e+33,4.226424742455231e+33,3.9525428917932433e+33,4.18458671777954e+33,3.908365122408856e+33,4.156199830487766e+33,3.906034084617874e+33,3.938566377514894e+33
ZAF,South Africa,6.335836282390978e+33,6.461704543918127e+33,6.749308256261696e+33,6.377093508866438e+33,6.312795069690476e+33,6.613243628012291e+33,6.320278646005769e+33,6.235886891839213e+33,6.130268454589159e+33,6.429457282705912e+33,6.526085022929593e+33,6.3046217118171e+33,6.360486453780228e+33,6.06714555482152e+33,5.785849619467005e+33,5.792612229442885e+33,5.739734259755293e+33,5.438386694301393e+33,5.280141066510498e+33,5.074638411220218e+33,4.784227278735488e+33
SOM,Somalia,7.048475569732795e+32,7.021702500430244e+32,6.939282105801191e+32,6.879162526964025e+32,6.7368173670085e+32,6.919320643416563e+32,6.65216795300351e+32,7.128178663251507e+32,6.952391138357198e+32,6.874635323605932e+32,6.989548184925733e+32,6.785383008750495e+32,6.773051685192992e+32,7.264891637500644e+32,6.741754834360794e+32,6.678346499241805e+32,6.688569674130759e+32,6.653777571401311e+32,5.604566257264653e+32,6.379552425742398e+32,6.053062687426315e+32
