ISO,Country,City,Latitude,Longitude,Tier
AGO,Angola,Luanda,-8.8272699,13.2439512,1
AGO,Angola,Benguela,-12.5790048,13.4037117,2
AGO,Angola,Lobito,-12.3506867,13.5464318,2
AGO,Angola,Huambo,-12.7772455,15.7346713,2
AGO,Angola,Lubango,-14.9195617,13.4897509,2
AGO,Angola,Cabinda,-5.056395,12.3211749,2
AGO,Angola,Malanje,-9.5401,16.3400,3
AGO,Angola,Namibe,-15.1961,12.1522,3
AGO,Angola,Sumbe,-11.2061,13.8437,3
AGO,Angola,Uige,-7.6087,15.0613,3
AGO,Angola,Soyo,-6.1387951,12.3690144,3
BEN,Benin,Bohicon,7.1783,2.0667,2
BEN,Benin,Abomey,7.1829,1.9912,2
BEN,Benin,Ouidah,6.3631,2.0851,3
BEN,Benin,Kandi,11.1342,2.9386,3
BEN,Benin,Natitingou,10.3042,1.3796,3
BEN,Benin,Save,8.0342,2.4866,3
BEN,Benin,Savalou,7.9333,1.9750,3
BEN,Benin,Comé,6.4076,1.8819,3
BEN,Benin,Allada,6.6655,2.1514,3
BEN,Benin,Dogbo,6.8000,1.7833,3
BEN,Benin,Lokossa,6.6387,1.7167,3
BEN,Benin,Tchaourou,8.8865,2.5975,3
BEN,Benin,Malanville,11.8682,3.3832,3
BEN,Benin,Tanguiéta,10.6197,1.2667,3
BEN,Benin,Bassila,9.0086,1.6653,3
BEN,Benin,Pobe,6.9810,2.6640,3
BEN,Benin,Ketou,7.3633,2.5998,3
BWA,Botswana,Gaborone,-24.6282,25.9231,2
BWA,Botswana,Francistown,-21.1700,27.5070,2
BWA,Botswana,Maun,-19.9833,23.4167,3
BWA,Botswana,Serowe,-22.3875,26.7108,3
BWA,Botswana,Kanye,-24.9667,25.3333,3
BWA,Botswana,Molepolole,-24.4167,25.5000,3
BWA,Botswana,Mochudi,-24.3667,26.1500,3
BWA,Botswana,Selebi-Phikwe,-22.0010,27.8429,3
BWA,Botswana,Palapye,-22.5461,27.1253,3
BWA,Botswana,Lobatse,-25.2193,25.6768,3
BWA,Botswana,Ramotswa,-24.8822,25.8690,3
BWA,Botswana,Letlhakane,-21.4149,25.5926,3
BWA,Botswana,Orapa,-21.3115,25.3764,3
BWA,Botswana,Kasane,-17.8017,25.1533,3
BWA,Botswana,Ghanzi,-21.6979,21.6580,3
BWA,Botswana,Jwaneng,-24.6025,24.7281,3
BWA,Botswana,Tsabong,-26.0200,22.4010,3
BWA,Botswana,Shoshong,-23.0381,26.5114,3
BFA,Burkina Faso,Ouagadougou,12.3714,-1.5197,1
BFA,Burkina Faso,Bobo-Dioulasso,11.1771,-4.2979,2
BFA,Burkina Faso,Koudougou,12.2526,-2.3627,2
BFA,Burkina Faso,Banfora,10.6333,-4.7667,3
BFA,Burkina Faso,Ouahigouya,13.5828,-2.4216,3
BFA,Burkina Faso,Kaya,13.0917,-1.0844,3
BFA,Burkina Faso,Tenkodogo,11.7800,-0.3700,3
BFA,Burkina Faso,Fada N'Gourma,12.0616,0.3584,3
BFA,Burkina Faso,Dedougou,12.4634,-3.4608,3
BFA,Burkina Faso,Dori,14.0354,-0.0345,3
BFA,Burkina Faso,Gaoua,10.3252,-3.1744,3
BFA,Burkina Faso,Kongoussi,13.3258,-1.5347,3
BFA,Burkina Faso,Manga,11.6639,-1.0731,3
BFA,Burkina Faso,Reo,12.3196,-2.4709,3
BFA,Burkina Faso,Ziniare,12.5819,-1.2986,3
BFA,Burkina Faso,Hounde,11.5020,-3.5164,3
BFA,Burkina Faso,Po,11.1697,-1.1450,3
BFA,Burkina Faso,Leo,11.1019,-2.1067,3
BDI,Burundi,Bujumbura,-3.3822,29.3644,2
BDI,Burundi,Gitega,-3.4271,29.9246,2
BDI,Burundi,Ngozi,-2.9075,29.8306,3
BDI,Burundi,Rumonge,-3.9726,29.4386,3
