ISO,Country,City,Year,Total_NO2_molecules
AGO,Angola,Luanda,2018,5.090620059155419e+18
AGO,Angola,Benguela,2018,2.590903710938064e+18
AGO,Angola,Lobito,2018,2.6942993358159084e+18
AGO,Angola,Huambo,2018,3.9734377012546406e+18
AGO,Angola,Lubango,2018,2.2821214554168852e+18
AGO,Angola,Cabinda,2018,3.252882766536642e+18
AGO,Angola,Malanje,2018,5.008208968780741e+18
AGO,Angola,Namibe,2018,1.8991982829693166e+18
AGO,Angola,Sumbe,2018,2.6646902619101993e+18
AGO,Angola,Uige,2018,4.5327643181102234e+18
AGO,Angola,Soyo,2018,3.096490724826046e+18
BEN,Benin,Bohicon,2018,2.5899169591536497e+18
BEN,Benin,Abomey,2018,2.5509256021252634e+18
BEN,Benin,Ouidah,2018,2.319920370719441e+18
BEN,Benin,Kandi,2018,2.1317779263190912e+18
BEN,Benin,Natitingou,2018,3.093652607119618e+18
BEN,Benin,Save,2018,2.1641040597284045e+18
BEN,Benin,Savalou,2018,2.2873374250590866e+18
BEN,Benin,Comé,2018,2.3828916399641846e+18
BEN,Benin,Allada,2018,2.5701308030699756e+18
BEN,Benin,Dogbo,2018,2.677489041454978e+18
BEN,Benin,Lokossa,2018,2.800779076892474e+18
BEN,Benin,Tchaourou,2018,2.0562510999636244e+18
BEN,Benin,Malanville,2018,2.1697792610091817e+18
BEN,Benin,Tanguiéta,2018,3.3071751806491003e+18
BEN,Benin,Bassila,2018,2.0412757794024942e+18
BEN,Benin,Pobe,2018,2.956265444569056e+18
BEN,Benin,Ketou,2018,2.693394184738982e+18
BWA,Botswana,Gaborone,2018,2.7887981072406564e+18
BWA,Botswana,Francistown,2018,2.1076546614425969e+18
BWA,Botswana,Maun,2018,2.154477143986345e+18
BWA,Botswana,Serowe,2018,2.125772462774535e+18
BWA,Botswana,Kanye,2018,2.2034718634916982e+18
BWA,Botswana,Molepolole,2018,2.3079065195992586e+18
BWA,Botswana,Mochudi,2018,2.6916944026188436e+18
BWA,Botswana,Selebi-Phikwe,2018,2.1949012232541868e+18
BWA,Botswana,Palapye,2018,2.2960819059900529e+18
BWA,Botswana,Lobatse,2018,2.2653746876118543e+18
BWA,Botswana,Ramotswa,2018,2.635958937958235e+18
BWA,Botswana,Letlhakane,2018,2.0010651509800422e+18
BWA,Botswana,Orapa,2018,1.9841879060692785e+18
BWA,Botswana,Kasane,2018,3.1824514781924424e+18
BWA,Botswana,Ghanzi,2018,1.7419700453304668e+18
BWA,Botswana,Jwaneng,2018,2.244775257819959e+18
BWA,Botswana,Tsabong,2018,1.3914812916554342e+18
BWA,Botswana,Shoshong,2018,2.2441394057060562e+18
BFA,Burkina Faso,Ouagadougou,2018,2.690926188696139e+18
BFA,Burkina Faso,Bobo-Dioulasso,2018,2.2248504391519565e+18
BFA,Burkina Faso,Koudougou,2018,2.1782076904839475e+18
BFA,Burkina Faso,Banfora,2018,1.9810519019254351e+18
BFA,Burkina Faso,Ouahigouya,2018,1.9413074009421066e+18
BFA,Burkina Faso,Kaya,2018,1.9677954052543995e+18
BFA,Burkina Faso,Tenkodogo,2018,2.0220925725032125e+18
BFA,Burkina Faso,Fada N'Gourma,2018,2.1448991978895117e+18
BFA,Burkina Faso,Dedougou,2018,2.1327316873607388e+18
BFA,Burkina Faso,Dori,2018,1.9918250376256138e+18
BFA,Burkina Faso,Gaoua,2018,3.184667713692107e+18
BFA,Burkina Faso,Kongoussi,2018,2.059921426602093e+18
BFA,Burkina Faso,Manga,2018,2.0710852720157066e+18
BFA,Burkina Faso,Reo,2018,2.1948277075217206e+18
BFA,Burkina Faso,Ziniare,2018,2.1916878773674716e+18
BFA,Burkina Faso,Hounde,2018,2.2062551560768092e+18
BFA,Burkina Faso,Po,2018,2.4697356729892127e+18
BFA,Burkina Faso,Leo,2018,2.439968844443452e+18
BDI,Burundi,Bujumbura,2018,2.3531823697365545e+18
BDI,Burundi,Gitega,2018,1.6892649265163494e+18
BDI,Burundi,Ngozi,2018,1.7364057533871406e+18
BDI,Burundi,Rumonge,2018,1.904285334679132e+18
BDI,Burundi,Bururi,2018,1.6660926780988948e+18
BDI,Burundi,Muyinga,2018,1.994257264310682e+18
BDI,Burundi,Ruyigi,2018,2.0139015538742697e+18
BDI,Burundi,Makamba,2018,1.8241845982318008e+18
BDI,Burundi,Kayanza,2018,1.6831635769592566e+18
BDI,Burundi,Muramvya,2018,1.8609136691022203e+18
BDI,Burundi,Cibitoke,2018,2.3048529849514985e+18
BDI,Burundi,Karuzi,2018,1.8622743994436055e+18
BDI,Burundi,Kirundo,2018,1.9454147196552284e+18
BDI,Burundi,Mwaro,2018,1.5366163689749292e+18
BDI,Burundi,Nyanza-Lac,2018,2.1194333158120873e+18
CMR,Cameroon,Douala,2018,3.0705778667859866e+18
CMR,Cameroon,Yaounde,2018,2.866040068267219e+18
CMR,Cameroon,Garoua,2018,2.676307881436781e+18
CMR,Cameroon,Bamenda,2018,2.499340175832526e+18
CMR,Cameroon,Maroua,2018,2.5327037798049946e+18
CMR,Cameroon,Ngaoundere,2018,2.6615747960240205e+18
CMR,Cameroon,Bafoussam,2018,2.9258717071850383e+18
CMR,Cameroon,Bertoua,2018,2.432801676494846e+18
CMR,Cameroon,Ebolowa,2018,2.3217475527510804e+18
CMR,Cameroon,Kribi,2018,2.331343542279714e+18
CMR,Cameroon,Limbe,2018,2.62815181330271e+18
CMR,Cameroon,Kumba,2018,2.638691632940675e+18
CMR,Cameroon,Nkongsamba,2018,2.652342559839196e+18
CMR,Cameroon,Edea,2018,2.78663215991547e+18
CMR,Cameroon,Sangmelima,2018,2.3609269314489523e+18
CMR,Cameroon,Foumban,2018,2.8424877019145436e+18
CMR,Cameroon,Dschang,2018,2.7031016224325504e+18
CMR,Cameroon,Kousseri,2018,2.578930661745573e+18
CAF,Central African Republic,Bangui,2018,3.460284663819295e+18
CAF,Central African Republic,Bimbo,2018,3.183974354930384e+18
CAF,Central African Republic,Berberati,2018,3.3321738760221174e+18
CAF,Central African Republic,Bambari,2018,3.1701445143163013e+18
CAF,Central African Republic,Bouar,2018,4.1118295697250673e+18
CAF,Central African Republic,Bossangoa,2018,3.210420362653184e+18
CAF,Central African Republic,Bria,2018,2.90762793642411e+18
CAF,Central African Republic,Bangassou,2018,2.478678653783884e+18
CAF,Central African Republic,Kaga-Bandoro,2018,2.97187768308964e+18
CAF,Central African Republic,Mbaiki,2018,2.825285308094936e+18
CAF,Central African Republic,Bozoum,2018,3.309000351314006e+18
CAF,Central African Republic,Carnot,2018,6.342838922524043e+18
CAF,Central African Republic,Sibut,2018,2.9629941378457313e+18
CAF,Central African Republic,Alindao,2018,3.226322693701247e+18
CAF,Central African Republic,Mobaye,2018,2.8440543052613253e+18
CAF,Central African Republic,Nola,2018,2.6013058621077944e+18
TCD,Chad,N'Djamena,2018,2.5630861140595697e+18
TCD,Chad,Moundou,2018,2.9561689221673917e+18
TCD,Chad,Sarh,2018,3.4747975815763896e+18
TCD,Chad,Abeche,2018,1.9618576502467482e+18
TCD,Chad,Kelo,2018,2.6025521379852887e+18
TCD,Chad,Koumra,2018,2.601043365080312e+18
TCD,Chad,Pala,2018,2.63742337088091e+18
TCD,Chad,Am Timan,2018,2.8537495382707046e+18
TCD,Chad,Bongor,2018,2.663717150634529e+18
TCD,Chad,Mongo,2018,2.298561938898416e+18
TCD,Chad,Faya-Largeau,2018,1.279960973777128e+18
TCD,Chad,Doba,2018,3.019712297095858e+18
TCD,Chad,Ati,2018,2.1340989942537446e+18
TCD,Chad,Biltine,2018,1.888738514011196e+18
TCD,Chad,Mao,2018,1.8508848767119462e+18
TCD,Chad,Massakory,2018,2.0911779871056184e+18
COD,DR Congo,Kinshasa,2018,5.058326694941127e+18
COD,DR Congo,Lubumbashi,2018,5.130686083644246e+18
COD,DR Congo,Mbuji-Mayi,2018,4.031433882724538e+18
COD,DR Congo,Kisangani,2018,2.1598749569412844e+18
COD,DR Congo,Goma,2018,1.6758237863808297e+18
COD,DR Congo,Bukavu,2018,1.9174807481803471e+18
COD,DR Congo,Kananga,2018,4.591398834454905e+18
COD,DR Congo,Kolwezi,2018,4.747039183801258e+18
COD,DR Congo,Tshikapa,2018,4.47694942504831e+18
COD,DR Congo,Matadi,2018,4.498111341446872e+18
COD,DR Congo,Boma,2018,3.991797348227967e+18
COD,DR Congo,Uvira,2018,2.3038871501232896e+18
COD,DR Congo,Kindu,2018,3.122273553908003e+18
COD,DR Congo,Kalemie,2018,2.762857276861524e+18
COD,DR Congo,Likasi,2018,4.669363467398837e+18
COD,DR Congo,Kikwit,2018,5.090208352808452e+18
COD,DR Congo,Gemena,2018,2.64948019251063e+18
COD,DR Congo,Isiro,2018,1.920406181222353e+18
COG,Congo Republic,Brazzaville,2018,4.921334595348402e+18
COG,Congo Republic,Pointe-Noire,2018,3.362271856222541e+18
COG,Congo Republic,Dolisie,2018,3.853536799179103e+18
COG,Congo Republic,Nkayi,2018,4.742795722050216e+18
COG,Congo Republic,Owando,2018,2.914532227314303e+18
COG,Congo Republic,Ouesso,2018,2.3578049550025405e+18
COG,Congo Republic,Impfondo,2018,2.1762952478548623e+18
COG,Congo Republic,Sibiti,2018,3.363507425362048e+18
COG,Congo Republic,Madingou,2018,4.5364585914892646e+18
COG,Congo Republic,Kinkala,2018,4.2909087230947046e+18
COG,Congo Republic,Mossendjo,2018,2.3007765858046326e+18
COG,Congo Republic,Gamboma,2018,3.855315141064085e+18
COG,Congo Republic,Djambala,2018,3.925701719842973e+18
CIV,Cote d'Ivoire,Abidjan,2018,3.1186646783988347e+18
CIV,Cote d'Ivoire,Yamoussoukro,2018,2.4245149768895596e+18
CIV,Cote d'Ivoire,Bouake,2018,2.5422057124225577e+18
CIV,Cote d'Ivoire,Daloa,2018,2.0765694659820076e+18
CIV,Cote d'Ivoire,San-Pedro,2018,1.6065187597281518e+18
CIV,Cote d'Ivoire,Korhogo,2018,2.045555744592515e+18
CIV,Cote d'Ivoire,Man,2018,1.7846804910562196e+18
CIV,Cote d'Ivoire,Gagnoa,2018,1.9884674757392604e+18
CIV,Cote d'Ivoire,Abengourou,2018,2.1955787283478912e+18
CIV,Cote d'Ivoire,Bondoukou,2018,2.9213687134777236e+18
CIV,Cote d'Ivoire,Divo,2018,2.0799848303200645e+18
CIV,Cote d'Ivoire,Odienne,2018,1.7807784938503747e+18
