ISO,Country,Year,Total_NO2_molecules
AGO,Angola,2018,3.7085617585714086e+19
AGO,Angola,2019,3.7085617585714086e+19
AGO,Angola,2020,3.103829351572374e+19
AGO,Angola,2021,3.057835745176567e+19
AGO,Angola,2022,3.143433019385759e+19
AGO,Angola,2023,3.159771526493291e+19
AGO,Angola,2024,3.612767125272671e+19
AGO,Angola,2025,3.1472664191794323e+19
BDI,Burundi,2018,2.849424351373365e+19
BDI,Burundi,2019,2.849424351373365e+19
BDI,Burundi,2020,2.230913160276464e+19
BDI,Burundi,2021,2.474439102413603e+19
BDI,Burundi,2022,2.545038706266954e+19
BDI,Burundi,2023,2.685415339536441e+19
BDI,Burundi,2024,2.3571619245646737e+19
BDI,Burundi,2025,2.7230685038123655e+19
BEN,Benin,2018,4.279306646193861e+19
BEN,Benin,2019,4.279306646193861e+19
BEN,Benin,2020,4.536328564040482e+19
BEN,Benin,2021,4.7681142234802405e+19
BEN,Benin,2022,4.810124275643954e+19
BEN,Benin,2023,5.131863062330481e+19
BEN,Benin,2024,4.849648307488892e+19
BEN,Benin,2025,5.021986694485457e+19
BFA,Burkina Faso,2018,4.0093837192541635e+19
BFA,Burkina Faso,2019,4.0093837192541635e+19
BFA,Burkina Faso,2020,3.7286241231491604e+19
BFA,Burkina Faso,2021,4.070243032921296e+19
BFA,Burkina Faso,2022,3.8591131730187e+19
BFA,Burkina Faso,2023,4.309117157395453e+19
BFA,Burkina Faso,2024,4.092830449897972e+19
BFA,Burkina Faso,2025,4.542013228142516e+19
BWA,Botswana,2018,4.0562162451721945e+19
BWA,Botswana,2019,4.0562162451721945e+19
BWA,Botswana,2020,3.826837338825984e+19
BWA,Botswana,2021,3.5799646615437378e+19
BWA,Botswana,2022,3.707512564964785e+19
BWA,Botswana,2023,3.7214611275248976e+19
BWA,Botswana,2024,3.747494921686408e+19
BWA,Botswana,2025,3.614331057226635e+19
CAF,Central African Republic,2018,5.293881319561307e+19
CAF,Central African Republic,2019,5.293881319561307e+19
CAF,Central African Republic,2020,4.8209686221930684e+19
CAF,Central African Republic,2021,4.8430050312132534e+19
CAF,Central African Republic,2022,5.264195992038297e+19
CAF,Central African Republic,2023,4.75277065949005e+19
CAF,Central African Republic,2024,5.3381946097587044e+19
CAF,Central African Republic,2025,5.44424457706595e+19
CIV,Cote d'Ivoire,2018,3.901316398351625e+19
CIV,Cote d'Ivoire,2019,3.901316398351625e+19
CIV,Cote d'Ivoire,2020,3.514758344298838e+19
CIV,Cote d'Ivoire,2021,3.765294150883121e+19
CIV,Cote d'Ivoire,2022,3.850620121506487e+19
