ISO,Country_x,Year,Total_NO2_molecules,Country_y,GDP,log_GDP
AGO,Angola,2018,3.7085617585714086e+19,Angola,100050434318.105,25.328940238977275
AGO,Angola,2019,3.7085617585714086e+19,Angola,99845650843.2744,25.326891338957
AGO,Angola,2020,3.103829351572374e+19,Angola,95809443080.1137,25.285627087839075
AGO,Angola,2021,3.057835745176567e+19,Angola,97824078558.145,25.30643658571046
AGO,Angola,2022,3.143433019385759e+19,Angola,101948344238.666,25.347732092919504
AGO,Angola,2023,3.159771526493291e+19,Angola,103236265970.233,25.360286042702523
AGO,Angola,2024,3.612767125272671e+19,Angola,107803341999.578,25.40357449679213
AGO,Angola,2025,3.1472664191794323e+19,,,
BDI,Burundi,2018,2.849424351373365e+19,Burundi,3172504889.35261,21.87778729871873
BDI,Burundi,2019,2.849424351373365e+19,Burundi,3313977733.08389,21.921415036882912
BDI,Burundi,2020,2.230913160276464e+19,Burundi,3324133212.69452,21.92447478915781
BDI,Burundi,2021,2.474439102413603e+19,Burundi,3431737891.18244,21.956332643622545
BDI,Burundi,2022,2.545038706266954e+19,Burundi,3511275322.23022,21.979245148099043
BDI,Burundi,2023,2.685415339536441e+19,Burundi,3625559222.01905,22.01127438149813
BDI,Burundi,2024,2.3571619245646737e+19,Burundi,3774652142.65546,22.05157406776061
BDI,Burundi,2025,2.723068503812365e+19,,,
BEN,Benin,2018,4.279306646193861e+19,Benin,13268812302.6618,23.30868217884801
BEN,Benin,2019,4.279306646193861e+19,Benin,14179807374.6843,23.37508477366224
BEN,Benin,2020,4.536328564040482e+19,Benin,14725558723.2985,23.412850509621496
BEN,Benin,2021,4.7681142234802405e+19,Benin,15779238957.3117,23.481960922893872
BEN,Benin,2022,4.810124275643954e+19,Benin,16765906414.7949,23.542613281301985
BEN,Benin,2023,5.131863062330481e+19,Benin,17831007125.9788,23.604204752138127
BEN,Benin,2024,4.849648307488892e+19,Benin,19159972710.8241,23.67608918520962
BEN,Benin,2025,5.021986694485457e+19,,,
BFA,Burkina Faso,2018,4.009383719254164e+19,Burkina Faso,14194244128.6065,23.37610237632404
BFA,Burkina Faso,2019,4.009383719254164e+19,Burkina Faso,15030172259.3791,23.433325501682152
BFA,Burkina Faso,2020,3.72862412314916e+19,Burkina Faso,15332394848.5201,23.453233737362964
BFA,Burkina Faso,2021,4.070243032921296e+19,Burkina Faso,16396850182.5889,23.520355091293027
BFA,Burkina Faso,2022,3.8591131730187e+19,Burkina Faso,16663583086.9504,23.536491521806123
BFA,Burkina Faso,2023,4.309117157395453e+19,Burkina Faso,17163536264.1285,23.56605298577365
BFA,Burkina Faso,2024,4.092830449897972e+19,Burkina Faso,17987353311.1315,23.612934754081834
BFA,Burkina Faso,2025,4.542013228142516e+19,,,
BWA,Botswana,2018,4.0562162451721945e+19,Botswana,15734967212.8207,23.47915128375045
BWA,Botswana,2019,4.0562162451721945e+19,Botswana,16212015762.4196,23.509018517980667
BWA,Botswana,2020,3.826837338825984e+19,Botswana,14796887965.3696,23.41768272299593
BWA,Botswana,2021,3.5799646615437378e+19,Botswana,16560125447.6096,23.530263561213577
BWA,Botswana,2022,3.707512564964785e+19,Botswana,17468616755.5627,23.583671779684156
BWA,Botswana,2023,3.7214611275248976e+19,Botswana,18029021881.095,23.615248623166785
BWA,Botswana,2024,3.747494921686408e+19,Botswana,17489977781.8862,23.584893855643703
BWA,Botswana,2025,3.614331057226635e+19,,,
